N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,43.520114,51.471174,24.283207
2048.000000,46.573197,56.283226,25.902909
4096.000000,49.461691,60.047815,27.438655
8192.000000,52.535096,61.462077,29.136214
16384.000000,50.920393,61.003688,11.515002
