N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,42.955663,51.868701,25.613467
2048.000000,47.974724,57.168841,29.305695
4096.000000,50.508156,60.414796,30.105750
8192.000000,51.177428,61.024463,28.831090
16384.000000,50.650720,60.729878,11.480035
