N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,38.120148,42.796688,22.867777
2048.000000,40.175879,46.582581,24.453699
4096.000000,46.500931,53.926445,26.552412
8192.000000,49.755404,57.974265,28.838227
16384.000000,50.669538,59.992377,22.748632
